"Front","Back","Tags"
"das Grätzel","small neighbourhood / local quarter (Viennese dialect) — neighborhood_chat session 2026-05-07 (new this session – Robert correctly asked for clarification and understood the explanation)","austrian-german dialect anki"
"einfach","simply / just — neighborhood_chat session 2026-05-07 (new this session – Robert asked for the meaning and confirmed understanding)","high-frequency anki"
"das Stadtviertel","city district / neighbourhood — neighborhood_chat session 2026-05-07 (used correctly by Georg in explanation; Robert should add to active vocabulary)","anki"
"die Handynummer","mobile phone number — neighborhood_chat session 2026-05-07 (needs practice – Robert used the non-standard 'Nummer von Handy' instead of the compound noun)","compound-noun anki"
"damit … können","so that … can (purpose clause) — neighborhood_chat session 2026-05-07 (used correctly after Georg's model; Robert successfully repeated the structure)","subordinate-clause anki"
"Servus / Tschüss / Grüß Gott","Hi / Bye / Hello (Austrian greetings) — neighborhood_chat session 2026-05-07 (new this session – exposure to Austrian register variation)","austrian-german greetings"
"gemütlich","cozy, comfortable, relaxed — neighborhood_chat session 2026-05-07 (used correctly; key Austrian cultural word)","anki culture adjective"
"der Melange","Viennese coffee with steamed milk and foam, similar to cappuccino — neighborhood_chat session 2026-05-07 (used correctly and Robert even explained it to Vera)","anki austrian cafe"
"kennenlernen","to get to know, to explore — neighborhood_chat session 2026-05-07 (needs practice — attempted but split incorrectly as 'kennen Lernen')","anki separable-verb"
"gemeinsam / zusammen","together / together — neighborhood_chat session 2026-05-07 (Robert proactively asked about the difference — great metalinguistic awareness)","anki nuance vocabulary"
"etwas kaufen","to buy something — neighborhood_chat session 2026-05-07 (needs practice — confused with 'etwa' (approximately))","anki false-friend"
"Ich weiß nicht, wie man das auf Deutsch sagt.","I don't know how to say that in German. — neighborhood_chat session 2026-05-07 (new this session — essential survival phrase for learners)","anki phrase must-know"
"für den Frühling","for spring — neighborhood_chat session 2026-05-07 (needs practice — article dropped in production)","anki seasons articles"
"der Rock","skirt — neighborhood_chat session 2026-05-07 (new this session — successfully learned from Georg's correction)","anki clothing false-friend"
