"Front","Back","Tags"
"die Semmel","bread roll (Austrian/Bavarian term) — Bäckerei session 2026-04-24 (new this session – regional term worth remembering)","anki food Austrian German"
"die Körnersemmel","seeded/multigrain bread roll — Bäckerei session 2026-04-24 (new this session – encountered but not yet mastered)","anki food compound noun"
"der Topfenstrudel","quark/cream cheese strudel — Bäckerei session 2026-04-24 (new this session – introduced by Frau Berger, Robert did not use it)","anki food Austrian German"
"etwas für meine Frau","something for my wife — Bäckerei session 2026-04-24 (needs practice – Robert attempted this idea but could not produce it)","anki phrases possessive"
"Bar oder Karte?","Cash or card? — Bäckerei session 2026-04-24 (new this session – useful transactional phrase)","anki shopping phrases"
"Entschuldigung, können Sie mir kurz helfen?","Excuse me, can you help me for a second?","german vienna directions stefan"
"Wie komm ich zu Fuß zum Belvedere?","How do I get to the Belvedere on foot?","german vienna directions stefan"
"Ich bin beim Stephansdom und möcht zum Belvedere laufen.","I'm at Stephansdom and want to walk to the Belvedere.","german vienna directions stefan"
"Welchen Weg muss ich nehmen?","Which way do I have to go?","german vienna directions stefan"
"Ist das weit zu Fuß?","Is it far on foot?","german vienna directions stefan"
"Einfach geradeaus und dann links/rechts?","Just straight ahead and then left/right?","german vienna directions stefan"
"Verstehe ich richtig, dass ich bei der nächsten Ampel rechts abbieg?","Do I understand correctly that I turn right at the next traffic light?","german vienna directions stefan"
"Und dann immer der Straße nach?","And then just follow the road?","german vienna directions stefan"
"Vielen Dank, das war sehr hilfreich!","Thank you very much, that was really helpful!","german vienna directions stefan"
"Super, danke schön!","Great, thanks a lot!","german vienna directions stefan"
"die Körner (pl.)","seeds / grains — Bäckerei session 2026-04-24 (new this session — caused comprehension breakdown; worth memorising)","food anki"
"Macht zusammen …","That comes to … (total price) — Bäckerei session 2026-04-24 (useful retail phrase — heard but not yet produced)","shopping phrases anki"
"Bar oder mit Karte?","Cash or card? — Bäckerei session 2026-04-24 (useful retail phrase — heard but not yet produced)","shopping phrases anki"
"Ich möchte …","I would like … — Bäckerei session 2026-04-24 (used correctly — solid polite request formula)","core politeness"
"der Fahrschein / das Ticket","ticket (transit) — U-Bahn session 2026-04-24 (needs practice — Robert should consolidate both words and their genders)","transport nouns anki"
"einsteigen","to board / get on — U-Bahn session 2026-04-24 (introduced this session by Stefan; worth memorising)","transport separable verbs anki"
"umsteigen","to change (trains/lines) — U-Bahn session 2026-04-24 (new this session; key vocabulary for public transport)","transport separable verbs anki"
"Richtung","direction / toward — U-Bahn session 2026-04-24 (used correctly in context by Stefan; Robert should practise using it actively)","transport prepositions anki"
"das Riesenrad","the giant Ferris wheel — U-Bahn session 2026-04-24 (new this session; culturally relevant Vienna landmark)","culture Vienna anki"
"Danke dir","Thanks (to you) — U-Bahn session 2026-04-24 (used correctly; slightly warmer/informal than plain 'Danke')","politeness register"
"Ich möchte","I would like — bakery_order session 2026-04-24 (used correctly)","polite modal A1"
"ein Brot","a loaf of bread — bakery_order session 2026-04-24 (used correctly)","food A1 bakery"
"bitte","please — bakery_order session 2026-04-24 (used correctly)","politeness A1"
"Danke schön","Thank you very much — bakery_order session 2026-04-24 (used correctly)","politeness A1"
