"Front","Back","Tags"
"kaputt","broken / not working — room_problem session 2026-04-30 (used correctly)","hotel complaints adjective"
"Es gibt kein ...","There is no ... — room_problem session 2026-04-30 (used correctly as a structure, though adjective ending inside needed practice)","existential negation anki"
"kaltes Wasser / heißes Wasser","cold water / hot water — room_problem session 2026-04-30 (needs practice — adjective endings after 'kein' in neuter (kein kaltes Wasser))","adjective_endings anki hotel"
"Ich warte dort.","I'll wait there. — room_problem session 2026-04-30 (used correctly — simple and natural)","hotel phrases"
"das Trinkgeld","tip / gratuity — cafe_bill session 2026-04-30 (new this session — heard and understood in context)","café anki"
"das hat geklappt","it worked / that went through — cafe_bill session 2026-04-30 (new this session — useful colloquial phrase)","colloquial anki"
"Lass dir Zeit","Take your time — cafe_bill session 2026-04-30 (new this session — heard in context)","phrases anki"
"morgen","tomorrow — cafe_bill session 2026-04-30 (needs practice — confused with 'morgens' (in the mornings))","time anki"
"schmeckt lecker","tastes delicious — cafe_bill session 2026-04-30 (needs practice — correct vocabulary but spelling/pronunciation approximated)","food anki"
"spazieren gehen","to go for a walk — cafe_bill session 2026-04-30 (new this session — separable verb construction not yet mastered)","separable_verbs anki"
"gefallen + Dativ","to please / to like (lit. 'it pleases me') — cafe_bill session 2026-04-30 (needs practice — dative object required: 'Es gefällt ihr' not 'Es gefällt sie')","dative anki"
"länger","longer — cafe_bill session 2026-04-30 (needs practice — umlaut required in comparative form)","comparative anki"
"sich entscheiden für","to decide on / to go with — cafe_bill session 2026-04-30 (new this session — better than 'gehen mit' for making a menu choice)","reflexive_verbs anki"
"die Eintrittskarte / die Eintrittskarten","admission ticket / admission tickets — museum_recommendation session 2026-04-30 (needs practice — Robert used the singular where plural was required)","museum plural anki"
"die Sammlung","collection — museum_recommendation session 2026-04-30 (new this session — Robert asked for and received the definition mid-conversation)","museum vocabulary anki"
"sich umsehen","to look around / browse — museum_recommendation session 2026-04-30 (needs practice — Robert used 'wandern' instead)","reflexive museum anki"
"alleine / allein","alone / by oneself — museum_recommendation session 2026-04-30 (needs practice — Robert confused with 'einsam' (lonely))","adjective false-friend-adjacent anki"
"interessant","interesting — museum_recommendation session 2026-04-30 (needs practice — Robert approximated as 'Intrasante')","adjective spelling anki"
"keine Hilfe brauchen","to not need help — museum_recommendation session 2026-04-30 (needs practice — Robert attempted 'nicht hilfreich' using the adjective incorrectly)","phrase negation anki"
"das Untergeschoss","basement / lower floor — museum_recommendation session 2026-04-30 (used correctly — Robert understood the term in context)","museum building"
"zahlen","to pay — cafe_bill session 2026-04-30 (used correctly in context)","café anki"
"einen Moment","a moment — cafe_bill session 2026-04-30 (needs practice — gender and case both wrong (eine → einen))","masculine-nouns anki"
"mit jemandem sprechen","to speak with someone — cafe_bill session 2026-04-30 (needs practice — 'mit' requires dative: mit ihr, not mit sie)","dative-prepositions anki"
"lecker","delicious / tasty — cafe_bill session 2026-04-30 (new this session — correct word choice, needs spelling practice)","adjectives anki"
"der Apfelstrudel","apple strudel — cafe_bill session 2026-04-30 (used correctly in context, minor spelling slip at end)","food austria"
