"Front","Back","Tags"
"Ich hätte gerne","I would like — bakery_order session 2026-04-20 (used correctly — polite conditional, ideal for service interactions)","politeness conditional anki"
"das Kipferl (pl. Kipferln)","crescent roll / croissant (Austrian) — bakery_order session 2026-04-20 (used correctly — Austrian-specific term, shows regional awareness)","Austrian food anki"
"zum Mitnehmen","to go / to take away — bakery_order session 2026-04-20 (new this session — learned by asking in context, excellent strategy)","phrases food anki"
"Das war sehr hilfreich","That was very helpful — bakery_order session 2026-04-20 (used correctly — natural and appropriate closing remark)","social phrases"
"Auf Wiederschauen","Goodbye (lit. 'until we see each other again') — bakery_order session 2026-04-20 (new this session — Austrian/Southern German alternative to 'Auf Wiedersehen')","Austrian farewells anki"
"Sauerteigbrot","sourdough bread — bakery_order session 2026-04-20 (needs practice — Robert knew the concept but not the word)","food bakery anki"
"der Unterschied","the difference — bakery_order session 2026-04-20 (used correctly in a spontaneous question — strong moment)","useful anki"
"Roggenbrot","rye bread — bakery_order session 2026-04-20 (new this session — receptive knowledge confirmed)","food bakery anki"
"Mischbrot","mixed-grain bread (rye-wheat blend) — bakery_order session 2026-04-20 (new this session — receptive knowledge confirmed)","food bakery anki"
"kräftig","strong / robust (flavour) — bakery_order session 2026-04-20 (needs practice — better adjective choice than 'stark' for describing bread flavour)","adjectives food anki"
"Semmerl / Brötchen","bread roll — bakery_order session 2026-04-20 (used 'Brötchen' correctly (High German); Frau Berger modelled the Austrian variant 'Semmerl')","regional food anki"
"für unterwegs","for on the go / to take away — bakery_order session 2026-04-20 (new this session — introduced by Frau Berger, worth active practice)","phrases anki"
"Kipferl","crescent roll / croissant (Austrian term) — bakery_order session 2026-04-20 (used correctly)","Austrian bakery vocabulary"
"einpacken","to pack up / to wrap — bakery_order session 2026-04-20 (used correctly by Frau Berger, worth noting passively)","separable verb bakery"
"Ihnen auch","to you as well (formal) — bakery_order session 2026-04-20 (used correctly)","formal polite anki"
