"Front","Back","Tags"
"die Melange","Viennese coffee with steamed milk and foam — Ordering coffee and pastry session 2026-04-23 (new this session)","cafe vienna anki"
"der Verlängerte","extended/long black coffee (Viennese style) — Ordering coffee and pastry session 2026-04-23 (new this session)","cafe vienna anki"
"der Kleine Braune","small espresso with a little milk (Viennese style) — Ordering coffee and pastry session 2026-04-23 (new this session)","cafe vienna anki"
"der Gugelhupf","marble bundt cake — Ordering coffee and pastry session 2026-04-23 (new this session — Robert struggled with pronunciation)","food vienna anki"
"das Stückerl","a little piece (Austrian diminutive) — Ordering coffee and pastry session 2026-04-23 (new this session — authentic Austrian register)","austrian-german diminutive"
"Vorsicht","be careful / watch out — Ordering coffee and pastry session 2026-04-23 (used correctly by Maria — good passive exposure for Robert)","useful anki"
"Lass es dir schmecken","enjoy your meal (lit. let it taste good to you) — Ordering coffee and pastry session 2026-04-23 (new this session — Austrian/Southern German alternative to 'Guten Appetit')","phrase anki"
"einen Verlängerten","a 'Verlängerter' (Viennese long black coffee) — unknown session 2026-04-23 (used correctly)","Austrian German café anki"
"ein kleiner Brauner","a small brown coffee (espresso with a dash of cream/milk — Viennese style) — unknown session 2026-04-23 (new this session — learned through description)","Austrian German café anki"
"stattdessen","instead — unknown session 2026-04-23 (used correctly by Maria in response to Robert's context — worth learning actively)","adverb anki"
"Ich hätte gerne …","I would like … — unknown session 2026-04-23 (used correctly — polite conditional form for ordering)","ordering politeness anki"
"Wie sagt man?","How do you say …? — unknown session 2026-04-23 (used correctly — excellent communicative repair strategy)","conversation strategy anki"
"Servus","Hi / Bye (informal Austrian/Bavarian greeting) — unknown session 2026-04-23 (new this session — heard from Maria)","Austrian German greeting anki"
"Melange","Viennese coffee with steamed milk (similar to latte/cappuccino) — unknown session 2026-04-23 (new this session — heard from Maria)","Austrian German café anki"
"Ich überlege kurz.","Let me think for a moment. — unknown session 2026-04-23 (needs practice — Robert used 'Ich denke ein bisschen' instead)","vocabulary phrase anki"
"Entschuldigung","Excuse me / I'm sorry — Museum tour practice - Kunsthistorisches Museum Vienna session 2026-04-23 (used correctly)","A1 politeness"
"Ich möchte gern … sehen","I would like to see … — Museum tour practice - Kunsthistorisches Museum Vienna session 2026-04-23 (used correctly apart from article gender)","A2 anki museum"
"noch einmal wiederholen","to repeat once more — Museum tour practice - Kunsthistorisches Museum Vienna session 2026-04-23 (needs practice — Robert used 'nach einmal' instead)","A2 anki classroom-phrases"
"das Gemälde","the painting — Museum tour practice - Kunsthistorisches Museum Vienna session 2026-04-23 (needs practice — Robert used incorrect gender 'der')","A2 anki art-vocabulary"
"das Porträt","the portrait — Museum tour practice - Kunsthistorisches Museum Vienna session 2026-04-23 (new this session — heard in Dr. Huber's speech)","B1 anki art-vocabulary"
"die Wiener Secession","the Vienna Secession (art movement) — Museum tour practice - Kunsthistorisches Museum Vienna session 2026-04-23 (new this session — cultural vocabulary)","B2 culture art-vocabulary"
"auf Englisch sprechen","to speak in English — Museum tour practice - Kunsthistorisches Museum Vienna session 2026-04-23 (needs practice — Robert omitted 'auf')","A2 anki"
