"Front","Back","Tags"
"das Schlagobers","whipped cream (Austrian term) — cafe_order session 2026-04-27 (introduced by Maria — Robert did not yet use it productively)","austrian café anki"
"Genau, danke dir.","Exactly, thanks. — cafe_order session 2026-04-27 (used correctly and naturally as a closing exchange)","conversational register"
"das Gedeck","place setting / cover (in a café context) — cafe_order session 2026-04-27 (introduced by Maria — Robert did not yet use it)","austrian café anki"
"Verlängerter","Verlängerter (Viennese long black coffee – espresso extended with hot water) — cafe_order session 2026-04-27 (new this session – Austrian café term, needs practice with correct declension)","Austrian German café anki"
"Topfenstrudel","quark/cream cheese strudel — cafe_order session 2026-04-27 (used correctly as a topic – Austrian-specific vocabulary)","Austrian German food anki"
"Gugelhupf","a ring-shaped Central European cake — cafe_order session 2026-04-27 (encountered receptively – should be added to passive vocabulary)","Austrian German food anki"
"Schlagobers","whipped cream (Austrian term; standard German: Schlagsahne) — cafe_order session 2026-04-27 (encountered receptively – key Austrian register word)","Austrian German register anki"
"Gedecke","place settings / table settings — cafe_order session 2026-04-27 (encountered receptively – useful café/restaurant vocabulary)","café anki"
"Ich nehme…","I'll take / I'll have… — cafe_order session 2026-04-27 (needs practice – a natural alternative to 'Ich möchte' for ordering)","ordering anki"
"der Turmbau","tower construction / building of a tower — museum_exhibit session 2026-04-27 (new this session)","museum history compound noun"
"der Hochmut","arrogance / hubris — museum_exhibit session 2026-04-27 (introduced by Dr. Huber; Robert should learn for active use)","anki B2 culture"
"scheitern","to fail / to founder — museum_exhibit session 2026-04-27 (new this session; high-frequency verb worth memorising)","anki B1 verb"
"die Eintrittskarte","admission ticket / entry ticket — museum_exhibit session 2026-04-27 (needs practice — Robert used 'Eintritte' instead)","anki museum A2"
"Ich möchte zwei Karten, bitte.","I would like two tickets, please. — museum_exhibit session 2026-04-27 (used correctly — natural and polite phrasing)","A1 shopping polite"
"empfehlen","to recommend — museum_exhibit session 2026-04-27 (needs practice — Robert misjudged the conjugation and omitted the subject)","anki A2 verb Sie-form"
