"Front","Back","Tags"
"das Einzelzimmer","single room — Hotel Check-in session 2026-05-06 (used correctly and repeatedly)","hotel anki"
"noch eine Frage","one more question — Hotel Check-in session 2026-05-06 (needs practice — Robert used 'eine Frage mehr' (anglicism))","phrases anki"
"ruhig","quiet / peaceful — Hotel Check-in session 2026-05-06 (used correctly in context)","adjectives hotel"
"ausgezeichnet","excellent — Hotel Check-in session 2026-05-06 (used correctly and naturally)","expressions"
"umbuchen","to rebook / change a booking — Hotel Check-in session 2026-05-06 (introduced by Herr Fischer; new this session)","hotel travel anki"
"Können Sie mir … geben?","Could you give me …? — Viennese café session 2026-05-06 (used correctly — polite formal request structure)","polite requests modal verbs anki"
"anfangen mit (+ Dativ)","to start with / to begin with — Viennese café session 2026-05-06 (needs practice — attempted but incorrectly conjugated as 'fahne … ein')","separable verbs dative anki"
"Kommt sofort!","Coming right away! — Viennese café session 2026-05-06 (new this session — heard from Maria, useful café phrase)","café phrases anki"
"Kleiner Brauner","small Viennese black coffee with a dash of cream — Viennese café session 2026-05-06 (new this session; corrected from 'Black Browner')","café Vienna food-and-drink anki"
"Könnte ich … haben?","Could I have …? — Viennese café session 2026-05-06 (used correctly; excellent polite register)","polite-requests anki"
"Kein Problem, lass dir Zeit","No problem, take your time — Viennese café session 2026-05-06 (heard from Maria; useful café phrase to learn)","phrases anki"
