"Front","Back","Tags"
"Servus, Grüß Gott! Fahrschein bitte.","Hello! Ticket please. (typical informal Viennese greeting + ticket request in U-Bahn)","viennese u-bahn ticket"
"Hast du einen gültigen Ticket?","Do you have a valid ticket? (correct: Hast du einen gültigen Fahrschein?)","gender article u-bahn"
"Kein Ticket? Dann brauchst du einen.","No ticket? Then you need one. (good natural follow-up)","u-bahn phrases"
"Zum Prater nimmst du die U1 Richtung Leopoldau, einfach einsteigen, keine Umsteigung.","For the Prater take U1 direction Leopoldau, just get on, no transfer.","directions u1 prater"
"Der Prater ist viel besser zum Spazieren, da hast du den großen Park und den Wurstelprater mit dem Riesenrad.","The Prater is much better for walking, you have the big park and the Wurstelprater with the Ferris wheel.","prater vocabulary"
"Nimm einfach die U1, zwei Stationen.","Just take the U1, two stops.","directions simple"
"Entschuldigung, ich spreche nur Deutsch hier in der U-Bahn.","Sorry, I only speak German here in the U-Bahn. (polite way to stay in German)","register repair"
"Nimm die U1 Richtung Leopoldau, nur zwei Stationen. Dann bist du direkt am Prater.","Take the U1 towards Leopoldau, just two stops. Then you're directly at the Prater.","directions clear"
"Gell?","Right? / Isn't it? (very Viennese tag question)","viennese particle"
"Nach dem Aussteigen einfach geradeaus in den Park gehen.","After getting off just go straight into the park.","directions after exit"
"EinzelTicket oder eine Tageskarte","Single ticket or a day ticket","ticket types"
"Tageskarte","Day ticket (very useful in Vienna)","vocabulary ticket"
"Das macht dann vierundzwanzig Euro zusammen.","That comes to twenty-four euros in total.","payment phrase"
"Vielen Dank, das war sehr hilfreich!","Thank you very much, that was really helpful!","polite closing"
"Servus!","Bye! (informal Viennese)","viennese farewell""Welche Linie","Which line — transit_help session 2026-04-25 (used correctly)","transit questions"
"fährt nach","goes to / travels to — transit_help session 2026-04-25 (used correctly)","transit verbs fahren"
"Nebenwirkungen","side effects — Apotheke session 2026-04-25 (introduced this session by Frau Novak — needs practice)","Apotheke anki"
"Salztabletten / Elektrolyt-Tabletten","salt tablets / electrolyte tablets — Apotheke session 2026-04-25 (needs practice — Robert struggled to produce this compound noun)","Apotheke Komposita anki"
"Ihnen auch einen schönen Tag!","You too, have a nice day! — Apotheke session 2026-04-25 (needs practice — Robert produced an incomplete version)","Höflichkeit anki"
"seit einem Tag","for one day (up to now) — ask_medicine session 2026-04-25 (needs practice — correct form of what Robert attempted)","temporal seit dative anki"
"etwas für","something for — ask_medicine session 2026-04-25 (used correctly — natural phrasing for requesting remedies in a pharmacy)","pharmacy anki"
